Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
Rolando’s Emlid Base3,,,,,,,-67.78757145,-22.96074162,5185.689,Global,"18,8",0.014,0.014,0.015,0.020,1.734,m,FIX,RTK,2025-11-27 11:01:26.4 UTC-03:00,2025-11-27 11:01:26.4 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,125.864,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
Rolando’s Emlid Base4,,,,,,,-67.78757153,-22.96074154,5185.682,Global,"20,5",0.014,0.014,0.016,0.020,1.734,m,FIX,RTK,2025-11-27 11:01:30.0 UTC-03:00,2025-11-27 11:01:30.0 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,125.551,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
Rolando’s Emlid Base5,,,,,,,-67.78757139,-22.96074173,5185.691,Global,"23,5",0.014,0.014,0.017,0.020,1.734,m,FIX,RTK,2025-11-27 11:01:36.6 UTC-03:00,2025-11-27 11:01:36.6 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,126.375,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
Rolando’s Emlid Base6,,,,,,,-67.78757143,-22.96074162,5185.694,Global,"24,9",0.015,0.015,0.017,0.021,1.734,m,FIX,RTK,2025-11-27 11:01:40.6 UTC-03:00,2025-11-27 11:01:40.6 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,125.944,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
Target 19 bis,,,,,,,-67.78773195,-22.96056944,5185.296,Global,"2,2",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 11:02:53.4 UTC-03:00,2025-11-27 11:02:53.4 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,122.705,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
Target 7 bis,,,,,,,-67.78789517,-22.96045243,5185.134,Global,"2,8",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 11:03:26.4 UTC-03:00,2025-11-27 11:03:26.4 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,127.995,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
Target 18 bis,,,,,,,-67.78803780,-22.96047275,5185.367,Global,"2,2",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 11:03:54.0 UTC-03:00,2025-11-27 11:03:54.0 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,141.613,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
Target 38 bis,,,,,,,-67.78777890,-22.96024557,5184.655,Global,"2,2",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 11:04:37.0 UTC-03:00,2025-11-27 11:04:37.0 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,106.355,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
Target 9 bis,,,,,,,-67.78810351,-22.96019399,5184.901,Global,"2,5",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 11:05:39.2 UTC-03:00,2025-11-27 11:05:39.2 UTC-03:00,1,1.1,1.3,,,,-67.78685015,-22.95982209,5183.606,135.080,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
SATP1 1,,,,,,,-67.78838013,-22.96017291,5184.875,Global,"13,9",0.013,0.013,0.014,0.019,1.734,m,FIX,RTK,2025-11-27 11:07:14.6 UTC-03:00,2025-11-27 11:07:14.6 UTC-03:00,1,1.2,1.4,,,,-67.78685015,-22.95982209,5183.606,161.931,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
SATP1 2,,,,,,,-67.78842462,-22.96016225,5184.872,Global,"17,7",0.014,0.014,0.015,0.019,1.734,m,FIX,RTK,2025-11-27 11:07:23.2 UTC-03:00,2025-11-27 11:07:23.2 UTC-03:00,1,1.4,1.6,,,,-67.78685015,-22.95982209,5183.606,166.276,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
SATP1 3,,,,,,,-67.78845794,-22.96013252,5184.876,Global,"11,7",0.013,0.013,0.013,0.018,1.734,m,FIX,RTK,2025-11-27 11:07:31.4 UTC-03:00,2025-11-27 11:07:31.4 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,168.930,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
SATP1 4,,,,,,,-67.78847022,-22.96009139,5184.855,Global,"14,4",0.013,0.013,0.014,0.019,1.734,m,FIX,RTK,2025-11-27 11:07:39.2 UTC-03:00,2025-11-27 11:07:39.2 UTC-03:00,1,1.6,1.9,,,,-67.78685015,-22.95982209,5183.606,169.394,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
SATP1 5,,,,,,,-67.78845859,-22.96004982,5184.867,Global,"8,3",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-27 11:07:48.8 UTC-03:00,2025-11-27 11:07:48.8 UTC-03:00,1,1.7,2.0,,,,-67.78685015,-22.95982209,5183.606,167.236,,SC globale,9,7,4,7,0,Reach RS3,824351435C6D6A75
SATP1 6,,,,,,,-67.78842675,-22.96001931,5184.866,Global,"14,8",0.013,0.013,0.016,0.019,1.734,m,FIX,RTK,2025-11-27 11:07:59.2 UTC-03:00,2025-11-27 11:07:59.2 UTC-03:00,1,1.5,1.8,,,,-67.78685015,-22.95982209,5183.606,163.506,,SC globale,9,7,4,7,0,Reach RS3,824351435C6D6A75
SATP1 7,,,,,,,-67.78838205,-22.96000786,5184.872,Global,"12,7",0.013,0.013,0.015,0.018,1.734,m,FIX,RTK,2025-11-27 11:08:11.2 UTC-03:00,2025-11-27 11:08:11.2 UTC-03:00,1,1.4,1.7,,,,-67.78685015,-22.95982209,5183.606,158.595,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
SATP1 8,,,,,,,-67.78833950,-22.96001741,5184.857,Global,"17,5",0.014,0.014,0.015,0.019,1.734,m,FIX,RTK,2025-11-27 11:08:19.8 UTC-03:00,2025-11-27 11:08:19.8 UTC-03:00,1,1.4,1.6,,,,-67.78685015,-22.95982209,5183.606,154.188,,SC globale,9,7,5,8,0,Reach RS3,824351435C6D6A75
SATP1 9,,,,,,,-67.78830299,-22.96005009,5184.838,Global,"15,8",0.013,0.013,0.021,0.019,1.734,m,FIX,RTK,2025-11-27 11:08:28.8 UTC-03:00,2025-11-27 11:08:28.8 UTC-03:00,1,1.6,1.9,,,,-67.78685015,-22.95982209,5183.606,150.873,,SC globale,7,7,5,8,0,Reach RS3,824351435C6D6A75
SATP1 11,,,,,,,-67.78830347,-22.96013108,5184.885,Global,"16,0",0.013,0.013,0.014,0.019,1.734,m,FIX,RTK,2025-11-27 11:09:20.4 UTC-03:00,2025-11-27 11:09:20.4 UTC-03:00,1,1.2,1.4,,,,-67.78685015,-22.95982209,5183.606,152.781,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP1 12,,,,,,,-67.78833563,-22.96016119,5184.844,Global,"14,5",0.013,0.013,0.014,0.019,1.734,m,FIX,RTK,2025-11-27 11:09:29.2 UTC-03:00,2025-11-27 11:09:29.2 UTC-03:00,1,1.4,1.6,,,,-67.78685015,-22.95982209,5183.606,156.872,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP1 10,,,,,,,-67.78829014,-22.96008936,5185.133,Global,,0.012,0.024,0.030,0.027,2.134,m,FLOAT,RTK,2025-11-27 11:19:17.8 UTC-03:00,2025-11-27 11:19:47.8 UTC-03:00,151,1.9,2.3,,,,-67.78685015,-22.95982209,5183.606,150.780,,SC globale,8,6,5,8,0,Reach RS3,824351435C6D6A75
SATP2 1,,,,,,,-67.78823454,-22.96004835,5184.871,Global,"13,8",0.013,0.013,0.020,0.019,1.734,m,FIX,RTK,2025-11-27 11:21:26.4 UTC-03:00,2025-11-27 11:21:26.4 UTC-03:00,1,1.7,2.0,,,,-67.78685015,-22.95982209,5183.606,144.660,,SC globale,7,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 2,,,,,,,-67.78824617,-22.96008944,5184.910,Global,"10,6",0.013,0.013,0.018,0.018,1.734,m,FIX,RTK,2025-11-27 11:21:34.8 UTC-03:00,2025-11-27 11:21:34.8 UTC-03:00,1,1.2,1.3,,,,-67.78685015,-22.95982209,5183.606,146.659,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 3,,,,,,,-67.78823334,-22.96013059,5184.904,Global,"14,0",0.013,0.013,0.015,0.019,1.734,m,FIX,RTK,2025-11-27 11:21:47.0 UTC-03:00,2025-11-27 11:21:47.0 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,146.461,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 4,,,,,,,-67.78820046,-22.96016035,5184.848,Global,"12,6",0.013,0.013,0.014,0.019,1.734,m,FIX,RTK,2025-11-27 11:21:55.8 UTC-03:00,2025-11-27 11:21:55.8 UTC-03:00,1,1.1,1.3,,,,-67.78685015,-22.95982209,5183.606,143.961,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 5,,,,,,,-67.78815575,-22.96017142,5184.909,Global,"11,9",0.013,0.013,0.018,0.019,1.734,m,FIX,RTK,2025-11-27 11:22:06.4 UTC-03:00,2025-11-27 11:22:06.4 UTC-03:00,1,1.4,1.6,,,,-67.78685015,-22.95982209,5183.606,139.667,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 6,,,,,,,-67.78811119,-22.96015957,5184.861,Global,"12,5",0.013,0.013,0.014,0.019,1.734,m,FIX,RTK,2025-11-27 11:22:21.8 UTC-03:00,2025-11-27 11:22:21.8 UTC-03:00,1,1.4,1.6,,,,-67.78685015,-22.95982209,5183.606,134.663,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
